parameter,value,scenario,mode,steps,seed,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
stress_tol,0.01,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
stress_tol,0.01,full,standard,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
stress_tol,0.01,full,gated,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
stress_tol,0.01,partial,standard,200,42,0.0,0.0,0.6,4.4892373169743545,0.036,1.9936969200245325,0.351581744260318,4.4299208473234275,1.9036946088489781,0.35279905045601767,52.22468604210211,1.0,0.12
stress_tol,0.01,partial,gated,200,42,0.0,0.0,0.6,3.7844135498750675,0.036,1.770436247908911,0.35305259719550036,3.7525394697674512,1.7479642969451876,0.3533817102559763,52.06520421167531,1.0,0.12
dt,0.5,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,0.3957976971950615,1.3088536590415798,0.016776486376628704,0.2344508700786777,0.0,1.3215683000300862,0.23676630751798797,0.0,18.500979606940213,0.24742595361099134,0.12
dt,0.5,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.061567946679027305,1.2587876348376322e-10,0.00040241123967335433,6.1553780110528494e-27,0.0,0.0027038148250228666,8.397399299392004e-06,0.0,0.06736362005691535,0.014715960137806221,0.0022523959563756444
dt,0.5,full,standard,100,42,0.0,0.0,0.3738636363636364,5.712364538933286,1.1621900826445013e-06,1.2647740846942774,0.4256730125261473,5.434661127884792,1.147366592742098,0.42937115745680815,10.689126298673003,1.0,0.12
dt,0.5,full,gated,100,42,0.0,0.0,0.3738636363636364,5.712364538933286,1.1621900826445013e-06,1.2647740846942774,0.4256730125261473,5.434661127884792,1.147366592742098,0.42937115745680815,10.689126298673003,1.0,0.12
dt,0.5,partial,standard,200,42,0.0,0.0,0.1875,4.476989931657389,0.0035156249999999997,1.9346701718499477,0.35222526933464376,4.36070634910902,1.8528145713718134,0.35368745934377976,10.130285799619392,1.0,0.12
dt,0.5,partial,gated,200,42,0.0,0.0,0.1875,3.8119720690925165,0.0035156249999999997,1.7703618024582857,0.35257528974901625,3.7050998517740314,1.693445139696147,0.3540480683748676,7.341894807182129,1.0,0.12
